SkuId,ProductCode,ProductName,ProductType,RegularPrice,OnlineAvailability,ProductLink,ImageLink,ImageLinkFull,ImageLinkSmall,ImageLinkThumb,SalePrice,PointsPrice,ProductCost,ReleaseDate,Rating,NumReviews,Colors,Sizes,Categories,CategoriesLabel,SubCategories
1000100,1000,MEN'S APEX BIONIC JACKET,Mens,149,Y,http://ntoutfitters.com/product/1000100,http://ntoutfitters.com/images/products370/1000100.jpg,http://ntoutfitters.com/images/products1110/1000100.jpg,http://ntoutfitters.com/images/products185/1000100.jpg,http://ntoutfitters.com/images/products105/1000100.jpg,119.2,298,81.95,9/20/2012,5,25,ASPHALT GREY / CITRONELLE GREEN~ASPHALT GREY / NTO BLACK~ARDEN GREEN / ASPHALT GREY~HIGH RISE GREY / ASPHALT GREY~COSMIC BLUE / ASPHALT GREY~RED CLAY / ASPHALT GREY~NAUTICAL BLUE / COSMIC BLUE~DEEP WATER BLUE~NTO RED / ASPHALT GREY~NTO BLACK~ASPHALT GREY / ASPHALT GREY,S~M~L~XL~XXL~3XL,jackets,Jackets,Camping~Hiking
1001100,1001,MEN'S DENALI JACKET,Mens,179,Y,http://ntoutfitters.com/product/1001100,http://ntoutfitters.com/images/products370/1001100.jpg,http://ntoutfitters.com/images/products1110/1001100.jpg,http://ntoutfitters.com/images/products185/1001100.jpg,http://ntoutfitters.com/images/products105/1001100.jpg,143.2,358,98.45,9/20/2012,3.4,28,CHARCOAL GREY HEATHER / NTOBLK~COSMIC BLUE / ASPHALT GREY~CHARCOAL HEATHER GREY~RED CLAY / ASPHALT GREY~NTO BLACK,S~M~L~XL~XXL~3XL,jackets,Jackets,Camping~Hiking
1002100,1002,MEN'S QUANTUM JACKET,Mens,160,Y,http://ntoutfitters.com/product/1002100,http://ntoutfitters.com/images/products370/1002100.jpg,http://ntoutfitters.com/images/products1110/1002100.jpg,http://ntoutfitters.com/images/products185/1002100.jpg,http://ntoutfitters.com/images/products105/1002100.jpg,128,320,88,9/20/2012,3.4,7,NAUTICAL BLUE~NTO BLACK,S~M~L~XL~XXL,jackets,Jackets,Climbing~Climbing
1003100,1003,MEN'S VENTURE JACKET,Mens,99,Y,http://ntoutfitters.com/product/1003100,http://ntoutfitters.com/images/products370/1003100.jpg,http://ntoutfitters.com/images/products1110/1003100.jpg,http://ntoutfitters.com/images/products185/1003100.jpg,http://ntoutfitters.com/images/products105/1003100.jpg,79.2,198,54.45,9/20/2012,5,33,NAUTICAL BLUE / COSMIC BLUE~ZION ORANGE~GOBLIN BLUE~HIGH RISE GREY / ASPHALT GREY~ETHER GREY~COSMIC BLUE~ARDEN GREEN / ASPHALT GREY~NTO BLACK~T NTO RED~JAKE BLUE~CITRONELLE GREEN~RED CLAY~NTO WHITE~ORIOLE ORANGE~ASPHALT GREY / NTO BLACK,S~M~L~XL~XXL~3XL,jackets,Jackets,Camping~Climbing~Hiking
1004100,1004,MEN'S THUNDER JACKET,Mens,249,Y,http://ntoutfitters.com/product/1004100,http://ntoutfitters.com/images/products370/1004100.jpg,http://ntoutfitters.com/images/products1110/1004100.jpg,http://ntoutfitters.com/images/products185/1004100.jpg,http://ntoutfitters.com/images/products105/1004100.jpg,199.2,498,136.95,9/20/2012,4.5,30,BOLT BLUE~ASPHALT GREY~NTO BLACK,S~M~L~XL~XXL,jackets,Jackets,Camping~Climbing~Hiking
1005100,1005,MEN'S VERTO MICRO HOODIE,Mens,249,Y,http://ntoutfitters.com/product/1005100,http://ntoutfitters.com/images/products370/1005100.jpg,http://ntoutfitters.com/images/products1110/1005100.jpg,http://ntoutfitters.com/images/products185/1005100.jpg,http://ntoutfitters.com/images/products105/1005100.jpg,199.2,498,136.95,9/20/2012,5,7,SULPHUR SPRING GREEN~CONQUER BLUE~NTO BLACK~MANDARIN ORANGE,S~M~L~XL~XXL,jackets,Jackets,Camping~Climbing
1006100,1006,MEN'S VERTO JACKET,Mens,130,Y,http://ntoutfitters.com/product/1006100,http://ntoutfitters.com/images/products370/1006100.jpg,http://ntoutfitters.com/images/products1110/1006100.jpg,http://ntoutfitters.com/images/products185/1006100.jpg,http://ntoutfitters.com/images/products105/1006100.jpg,104,260,71.5,9/20/2012,4.5,13,NAUTICAL BLUE~SULPHUR SPRING GREEN~NTO BLACK,S~M~L~XL~XXL,jackets,Jackets,Camping~Climbing
1007100,1007,MEN'S BETTER THAN NAKED JACKET,Mens,130,Y,http://ntoutfitters.com/product/1007100,http://ntoutfitters.com/images/products370/1007100.jpg,http://ntoutfitters.com/images/products1110/1007100.jpg,http://ntoutfitters.com/images/products185/1007100.jpg,http://ntoutfitters.com/images/products105/1007100.jpg,104,260,71.5,9/20/2012,5,37,KOI ORANGE / NAUTICAL BLUE~NTO BLACK / SULPHUR SPRING GREEN,S~M~L~XL~XXL,jackets,Jackets,Running~Training
1008100,1008,MEN'S LEONIDAS JACKET,Mens,230,Y,http://ntoutfitters.com/product/1008100,http://ntoutfitters.com/images/products370/1008100.jpg,http://ntoutfitters.com/images/products1110/1008100.jpg,http://ntoutfitters.com/images/products185/1008100.jpg,http://ntoutfitters.com/images/products105/1008100.jpg,184,460,126.5,9/20/2012,3.8,8,CONQUER BLUE~SULPHUR SPRING GREEN~MANDARIN ORANGE~NAUTICAL BLUE~NTO BLACK,S~M~L~XL~XXL,jackets,Jackets,Climbing
1009100,1009,MEN'S DENALI HOODIE,Mens,199,Y,http://ntoutfitters.com/product/1009100,http://ntoutfitters.com/images/products370/1009100.jpg,http://ntoutfitters.com/images/products1110/1009100.jpg,http://ntoutfitters.com/images/products185/1009100.jpg,http://ntoutfitters.com/images/products105/1009100.jpg,159.2,398,109.45,9/20/2012,5,24,JAKE BLUE / BOLT BLUE~CHARCOAL GREY HEATHER / NTOBLK~NTO BLACK,S~M~L~XL~XXL~3XL,jackets,Jackets,Camping~Hiking
